http_agent_id,hour,request_count,avg_request_length
-,2025-07-31 22:00:00+08:00,171,33662.97076023392
-,2025-07-31 23:00:00+08:00,96,31521.5
-,2025-08-01 00:00:00+08:00,131,30857.717557251908
-,2025-08-01 01:00:00+08:00,34,29844.617647058825
-,2025-08-01 02:00:00+08:00,23,29469.260869565216
-,2025-08-01 03:00:00+08:00,25,30766.96
-,2025-08-01 04:00:00+08:00,35,29577.8
-,2025-08-01 05:00:00+08:00,38,28654.763157894737
-,2025-08-01 06:00:00+08:00,117,38254.07692307692
-,2025-08-01 07:00:00+08:00,249,36839.49397590361
-,2025-08-01 08:00:00+08:00,455,36419.896703296705
-,2025-08-01 09:00:00+08:00,144,33834.756944444445
ccccc,2025-07-31 22:00:00+08:00,1,739.0
linxi_xx_agent,2025-08-01 08:00:00+08:00,1,756.0
